date,game_id,season,neutral,playoff,home,away,elo1_pre_home,elo2_pre_away,home_score,away_score
29-10-2021,71,2022,0,,TOR,ORL,1465.432255,1319.803139,110,109
29-10-2021,72,2022,0,,BRK,IND,1564.715997,1471.304886,105,98
29-10-2021,73,2022,0,,MIA,CHO,1559.561986,1474.128704,114,99
29-10-2021,74,2022,0,,NOP,SAC,1461.478989,1456.937552,109,113
29-10-2021,75,2022,0,,DEN,DAL,1565.529708,1545.639089,106,75
29-10-2021,76,2022,0,,POR,LAC,1585.700117,1590.345946,111,92
29-10-2021,77,2022,0,,LAL,CLE,1523.180745,1408.656377,113,101
30-10-2021,78,2022,0,,WAS,BOS,1529.139762,1471.926598,115,112
30-10-2021,79,2022,0,,NOP,NYK,1452.561259,1559.701925,117,123
30-10-2021,80,2022,0,,DET,ORL,1363.451486,1318.481551,110,103
30-10-2021,81,2022,0,,IND,TOR,1467.702295,1466.753844,94,97
30-10-2021,82,2022,0,,PHI,ATL,1608.252156,1569.267499,122,94
30-10-2021,83,2022,0,,MIL,SAS,1634.251873,1461.943092,93,102
30-10-2021,84,2022,0,,MEM,MIA,1550.972714,1565.562211,103,129
30-10-2021,85,2022,0,,CHI,UTA,1516.793895,1641.043488,107,99
30-10-2021,86,2022,0,,GSW,OKC,1554.219087,1299.254636,103,82
30-10-2021,87,2022,0,,MIN,DEN,1454.529667,1579.179413,91,93
30-10-2021,88,2022,0,,PHO,CLE,1610.089765,1404.180646,101,92
31-10-2021,89,2022,0,,DAL,SAC,1531.989384,1465.855282,105,99
31-10-2021,90,2022,0,,MIL,UTA,1613.657227,1631.139368,95,107
31-10-2021,91,2022,0,,CHO,POR,1468.12848,1596.454922,125,113
31-10-2021,92,2022,0,,BRK,DET,1568.318588,1368.015154,117,91
31-10-2021,93,2022,0,,LAL,HOU,1527.656476,1330.900837,95,85
01-11-2021,94,2022,0,,IND,SAS,1459.901546,1482.537738,131,118
01-11-2021,95,2022,0,,PHI,POR,1619.857289,1583.580349,113,103
01-11-2021,96,2022,0,,CHO,CLE,1481.003052,1401.8867,110,113
01-11-2021,97,2022,0,,ATL,WAS,1557.662366,1532.000455,118,111
01-11-2021,98,2022,0,,BOS,CHI,1469.065905,1526.698014,114,128
01-11-2021,99,2022,0,,NYK,TOR,1567.232729,1474.554592,104,113
01-11-2021,100,2022,0,,MEM,DEN,1524.708486,1583.58222,106,97
01-11-2021,101,2022,0,,MIN,ORL,1450.126861,1313.917883,97,115
01-11-2021,102,2022,0,,LAC,OKC,1579.59114,1296.225991,99,94
02-11-2021,103,2022,0,,DET,MIL,1363.221635,1598.293972,89,117
02-11-2021,104,2022,0,,DAL,MIA,1535.779081,1591.826439,110,125
02-11-2021,105,2022,0,,UTA,SAC,1646.502624,1462.065585,119,113
02-11-2021,106,2022,0,,PHO,NOP,1612.383712,1445.030456,112,100
02-11-2021,107,2022,0,,LAL,HOU,1530.229278,1328.328035,119,117
03-11-2021,108,2022,0,,WAS,TOR,1527.006415,1491.861393,100,109
03-11-2021,109,2022,0,,CLE,POR,1411.507215,1577.715967,107,104
03-11-2021,110,2022,0,,IND,NYK,1468.912508,1549.925928,111,98
03-11-2021,111,2022,0,,ORL,BOS,1343.803592,1454.137549,79,92
03-11-2021,112,2022,0,,PHI,CHI,1625.721672,1541.62637,103,98
03-11-2021,113,2022,0,,BRK,ATL,1573.112107,1562.656406,117,108
03-11-2021,114,2022,0,,MIN,LAC,1420.241152,1580.658996,115,126
03-11-2021,115,2022,0,,MEM,DEN,1533.021943,1575.268762,108,106
03-11-2021,116,2022,0,,SAS,DAL,1473.526776,1520.069042,108,109
03-11-2021,117,2022,0,,SAC,NOP,1460.014201,1441.643177,112,99
03-11-2021,118,2022,0,,GSW,CHO,1557.247732,1471.382537,114,92
04-11-2021,119,2022,0,,DET,PHI,1351.402108,1628.878951,98,109
04-11-2021,120,2022,0,,ATL,UTA,1556.4641,1648.554008,98,116
04-11-2021,121,2022,0,,MIA,BOS,1607.536478,1465.92852,78,95
04-11-2021,122,2022,0,,PHO,HOU,1615.77099,1327.163721,123,111
04-11-2021,123,2022,0,,LAL,OKC,1531.393592,1295.158136,104,107
05-11-2021,124,2022,0,,ORL,SAS,1332.012621,1468.659676,89,102
05-11-2021,125,2022,0,,WAS,MEM,1512.049298,1536.8797,115,87
05-11-2021,126,2022,0,,DET,BRK,1346.297297,1579.304413,90,96
05-11-2021,127,2022,0,,TOR,CLE,1506.81851,1418.522046,101,102
05-11-2021,128,2022,0,,MIL,NYK,1610.113499,1538.515385,98,113
05-11-2021,129,2022,0,,MIN,LAC,1411.545836,1589.354312,84,104
05-11-2021,130,2022,0,,GSW,NOP,1565.034677,1434.122714,126,85
05-11-2021,131,2022,0,,SAC,CHO,1467.534664,1463.595591,140,110
05-11-2021,132,2022,0,,POR,IND,1570.701136,1480.323051,110,106
06-11-2021,133,2022,0,,DEN,HOU,1571.411006,1325.450954,95,94
06-11-2021,134,2022,0,,MIA,UTA,1578.459143,1664.230404,118,115
06-11-2021,135,2022,0,,CHI,PHI,1538.469091,1633.983762,105,114
06-11-2021,136,2022,0,,DAL,BOS,1524.936142,1495.005854,107,104
06-11-2021,137,2022,0,,PHO,ATL,1617.483757,1540.787704,121,117
06-11-2021,138,2022,0,,POR,LAL,1573.450944,1518.027413,105,90
07-11-2021,139,2022,0,,TOR,BRK,1499.706687,1583.741354,103,116
07-11-2021,140,2022,0,,NYK,CLE,1561.257808,1425.633868,109,126
07-11-2021,141,2022,0,,WAS,MIL,1527.48827,1587.371075,101,94
07-11-2021,142,2022,0,,SAC,IND,1481.856083,1477.573243,91,94
07-11-2021,143,2022,0,,ORL,UTA,1321.359791,1658.928961,107,100
07-11-2021,144,2022,0,,OKC,SAS,1308.524315,1479.312507,99,94
07-11-2021,145,2022,0,,GSW,HOU,1574.75882,1324.69056,120,107
07-11-2021,146,2022,0,,LAC,CHO,1601.377898,1449.274173,120,106
08-11-2021,147,2022,0,,PHI,NYK,1643.878752,1532.552488,96,103
08-11-2021,148,2022,0,,MEM,MIN,1521.440728,1399.522249,125,118
08-11-2021,149,2022,0,,CHI,BRK,1528.5741,1596.722579,118,95
08-11-2021,150,2022,0,,DAL,NOP,1528.190112,1424.398572,108,92
08-11-2021,151,2022,0,,DEN,MIA,1572.1714,1583.760586,113,96
08-11-2021,152,2022,0,,GSW,ATL,1577.010573,1537.84445,127,113
08-11-2021,153,2022,0,,SAC,PHO,1473.978918,1620.427011,104,109
08-11-2021,154,2022,0,,LAL,CHO,1511.078745,1445.211013,126,123
09-11-2021,155,2022,0,,PHI,MIL,1628.257894,1580.156938,109,118
09-11-2021,156,2022,0,,UTA,ATL,1642.372645,1530.67394,110,98
09-11-2021,157,2022,0,,LAC,POR,1605.441058,1580.399612,117,109
10-11-2021,158,2022,0,,CLE,WAS,1454.339188,1534.702407,94,97
10-11-2021,159,2022,0,,ORL,BRK,1337.916107,1580.713998,90,123
10-11-2021,160,2022,0,,HOU,DET,1322.438807,1341.860356,104,112
10-11-2021,161,2022,0,,BOS,TOR,1491.751884,1486.725462,104,88
10-11-2021,162,2022,0,,NYK,MIL,1548.173347,1595.640163,100,112
10-11-2021,163,2022,0,,CHI,DAL,1544.582681,1533.902637,117,107
10-11-2021,164,2022,0,,NOP,OKC,1418.686047,1317.483358,100,108
10-11-2021,165,2022,0,,MEM,CHO,1524.555424,1442.467582,108,118
10-11-2021,166,2022,0,,SAS,SAC,1470.353463,1468.095414,136,117
10-11-2021,167,2022,0,,DEN,IND,1582.44347,1485.450408,101,98
10-11-2021,168,2022,0,,PHO,POR,1626.310514,1574.994485,119,109
10-11-2021,169,2022,0,,LAL,MIA,1513.822176,1573.488516,120,117
10-11-2021,170,2022,0,,GSW,MIN,1584.181084,1396.407554,123,110
11-11-2021,171,2022,0,,PHI,TOR,1612.77467,1477.561716,109,115
11-11-2021,172,2022,0,,UTA,IND,1646.913786,1483.099143,100,111
11-11-2021,173,2022,0,,LAC,MIA,1610.846185,1568.698569,112,109
12-11-2021,174,2022,0,,CHO,NYK,1460.455435,1534.203904,104,96
12-11-2021,175,2022,0,,BOS,MIL,1500.915631,1609.609605,122,113
12-11-2021,176,2022,0,,CLE,DET,1448.338665,1353.776564,98,78
12-11-2021,177,2022,0,,HOU,POR,1310.522598,1569.532209,92,104
12-11-2021,178,2022,0,,NOP,BRK,1402.216155,1593.561304,112,120
12-11-2021,179,2022,0,,OKC,SAC,1333.95325,1457.663603,105,103
12-11-2021,180,2022,0,,MEM,PHO,1506.567571,1631.77279,94,119
12-11-2021,181,2022,0,,SAS,DAL,1480.785274,1527.307502,109,123
12-11-2021,182,2022,0,,DEN,ATL,1584.794735,1526.132798,105,96
12-11-2021,183,2022,0,,GSW,CHI,1587.372707,1551.177817,119,93
12-11-2021,184,2022,0,,LAL,MIN,1518.612124,1393.215931,83,107
13-11-2021,185,2022,0,,UTA,MIA,1624.014842,1565.625144,105,111
13-11-2021,186,2022,0,,ORL,WAS,1325.0688,1540.70293,92,104
13-11-2021,187,2022,0,,NOP,MEM,1395.929772,1489.13559,112,101
13-11-2021,188,2022,0,,IND,PHI,1505.998087,1597.633975,118,113
13-11-2021,189,2022,0,,TOR,DET,1492.702411,1346.802543,121,127
13-11-2021,190,2022,0,,CLE,BOS,1455.312687,1510.962862,91,89
13-11-2021,191,2022,0,,LAC,MIN,1613.91961,1428.903007,129,102
14-11-2021,192,2022,0,,LAL,SAS,1482.925047,1465.296755,114,106
14-11-2021,193,2022,0,,ATL,MIL,1521.186657,1599.562374,120,100
14-11-2021,194,2022,0,,CHO,GSW,1468.677363,1598.519568,106,102
14-11-2021,195,2022,0,,HOU,PHO,1304.619679,1649.20477,89,115
14-11-2021,196,2022,0,,OKC,BRK,1339.214139,1599.847687,96,120
14-11-2021,197,2022,0,,DEN,POR,1589.740876,1575.435128,124,95
14-11-2021,198,2022,0,,LAC,CHI,1619.277238,1540.030956,90,100
15-11-2021,199,2022,0,,DET,SAC,1362.294068,1452.402715,107,129
15-11-2021,200,2022,0,,CLE,BOS,1459.386556,1506.888993,92,98
15-11-2021,201,2022,0,,WAS,NOP,1547.934334,1406.667472,105,100
15-11-2021,202,2022,0,,NYK,IND,1525.981976,1512.820428,92,84
15-11-2021,203,2022,0,,ATL,ORL,1536.287501,1317.837396,129,111
15-11-2021,204,2022,0,,MEM,HOU,1478.397891,1298.136798,136,102
15-11-2021,205,2022,0,,OKC,MIA,1329.841074,1578.258378,90,103
15-11-2021,206,2022,0,,DAL,DEN,1542.796021,1603.078639,111,101
15-11-2021,207,2022,0,,MIN,PHO,1423.545379,1655.687652,96,99
15-11-2021,208,2022,0,,POR,TOR,1562.097365,1477.210886,118,113
15-11-2021,209,2022,0,,LAL,CHI,1488.516577,1557.894601,103,121
16-11-2021,210,2022,0,,BRK,GSW,1609.220752,1591.485381,99,117
16-11-2021,211,2022,0,,UTA,PHI,1611.381608,1590.811633,120,85
16-11-2021,212,2022,0,,LAC,SAS,1601.413593,1459.705225,106,92
17-11-2021,213,2022,0,,CHO,WAS,1475.71155,1550.289055,97,87
17-11-2021,214,2022,0,,DET,IND,1344.141869,1507.114531,97,89
17-11-2021,215,2022,0,,MIA,NOP,1584.797364,1404.312751,113,98
17-11-2021,216,2022,0,,MIL,LAL,1584.46153,1471.531065,109,102
17-11-2021,217,2022,0,,ATL,BOS,1539.634334,1516.171158,110,99
17-11-2021,218,2022,0,,NYK,ORL,1531.687873,1314.490563,98,104
17-11-2021,219,2022,0,,BRK,CLE,1586.917254,1450.104391,109,99
17-11-2021,220,2022,0,,OKC,HOU,1323.302088,1291.633695,101,89
17-11-2021,221,2022,0,,MIN,SAC,1420.32463,1470.554913,107,97
17-11-2021,222,2022,0,,POR,CHI,1565.242243,1574.880113,112,107
